#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1899 Hoffenheim,TSG,18,12,2,4,44:23,21,38
2,Hertha BSC,BSC,18,11,3,4,29:21,8,36
3,Hamburger SV,HSV,18,11,3,4,27:24,3,36
4,Bayern München,FCB,18,10,5,3,39:25,14,35
5,Bayer Leverkusen,B04,18,10,3,5,37:22,15,33
6,Borussia Dortmund,BVB,18,7,9,2,28:20,8,30
7,VfB Stuttgart,VFB,18,8,4,6,28:23,5,28
8,VfL Wolfsburg,WOB,18,7,6,5,36:26,10,27
9,FC Schalke 04,S04,18,7,6,5,24:17,7,27
10,Werder Bremen,SVW,18,7,5,6,40:30,10,26
11,1. FC Köln,KOE,18,7,2,9,20:26,-6,23
12,Hannover 96,H96,18,5,5,8,21:32,-11,20
13,Eintracht Frankfurt,SGE,18,5,4,9,24:31,-7,19
14,Arminia Bielefeld,DSC,18,3,8,7,17:28,-11,17
15,VfL Bochum,BOC,18,2,8,8,21:30,-9,14
16,Karlsruher SC,KSC,18,4,1,13,15:34,-19,13
17,Energie Cottbus,FCE,18,3,4,11,12:31,-19,13
18,Bor. Mönchengladbach,BMG,18,3,2,13,18:37,-19,11
