#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,34,25,6,3,80:25,55,81
2,Bayern München,FCB,34,23,4,7,77:22,55,73
3,FC Schalke 04,S04,34,20,4,10,74:44,30,64
4,Bor. Mönchengladbach,BMG,34,17,9,8,49:24,25,60
5,Bayer Leverkusen,B04,34,15,9,10,52:44,8,54
6,VfB Stuttgart,VFB,34,15,8,11,63:46,17,53
7,Hannover 96,H96,34,12,12,10,41:45,-4,48
8,VfL Wolfsburg,WOB,34,13,5,16,47:60,-13,44
9,Werder Bremen,SVW,34,11,9,14,49:58,-9,42
10,1. FC Nürnberg,FCN,34,12,6,16,38:49,-11,42
11,1899 Hoffenheim,TSG,34,10,11,13,41:47,-6,41
12,SC Freiburg,SCF,34,10,10,14,45:61,-16,40
13,1. FSV Mainz 05,M05,34,9,12,13,47:51,-4,39
14,FC Augsburg,FCA,34,8,14,12,36:49,-13,38
15,Hamburger SV,HSV,34,8,12,14,35:57,-22,36
16,Hertha BSC,BSC,34,7,10,17,38:64,-26,31
17,1. FC Köln,KOE,34,8,6,20,39:75,-36,30
18,1. FC Kaiserslautern,FCK,34,4,11,19,24:54,-30,23
