#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,1,1,0,0,6:1,5,3
2,SC Freiburg,SCF,1,1,0,0,4:0,4,3
3,1. FC Köln,KOE,1,1,0,0,3:1,2,3
3,1. FC Union Berlin,FCU,1,1,0,0,3:1,2,3
3,Bor. Mönchengladbach,BMG,1,1,0,0,3:1,2,3
6,1. FSV Mainz 05,M05,1,1,0,0,2:1,1,3
7,Borussia Dortmund,BVB,1,1,0,0,1:0,1,3
8,VfL Wolfsburg,WOB,1,0,1,0,2:2,0,1
8,Werder Bremen,SVW,1,0,1,0,2:2,0,1
10,RB Leipzig,RBL,1,0,1,0,1:1,0,1
10,VfB Stuttgart,VFB,1,0,1,0,1:1,0,1
12,VfL Bochum,BOC,1,0,0,1,1:2,-1,0
13,Bayer Leverkusen,B04,1,0,0,1,0:1,-1,0
14,1899 Hoffenheim,TSG,1,0,0,1,1:3,-2,0
14,FC Schalke 04,S04,1,0,0,1,1:3,-2,0
14,Hertha BSC,BSC,1,0,0,1,1:3,-2,0
17,FC Augsburg,FCA,1,0,0,1,0:4,-4,0
18,Eintracht Frankfurt,SGE,1,0,0,1,1:6,-5,0
