#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,34,28,4,2,80:17,63,88
2,Borussia Dortmund,BVB,34,24,6,4,82:34,48,78
3,Bayer Leverkusen,B04,34,18,6,10,56:40,16,60
4,Bor. Mönchengladbach,BMG,34,17,4,13,67:50,17,55
5,FC Schalke 04,S04,34,15,7,12,51:49,2,52
6,1. FSV Mainz 05,M05,34,14,8,12,46:42,4,50
7,Hertha BSC,BSC,34,14,8,12,42:42,0,50
8,VfL Wolfsburg,WOB,34,12,9,13,47:49,-2,45
9,1. FC Köln,KOE,34,10,13,11,38:42,-4,43
10,Hamburger SV,HSV,34,11,8,15,40:46,-6,41
11,FC Ingolstadt 04,FCI,34,10,10,14,33:42,-9,40
12,FC Augsburg,FCA,34,9,11,14,42:52,-10,38
13,Werder Bremen,SVW,34,10,8,16,50:65,-15,38
14,SV Darmstadt 98,D98,34,9,11,14,38:53,-15,38
15,1899 Hoffenheim,TSG,34,9,10,15,39:54,-15,37
16,Eintracht Frankfurt,SGE,34,9,9,16,34:52,-18,36
17,VfB Stuttgart,VFB,34,9,6,19,50:75,-25,33
18,Hannover 96,H96,34,7,4,23,31:62,-31,25
